split,index,question,primary_type,secondary_types,source_section,answer_shape,risk,required_extractor,notes
valid,10,蒼樹会 みなみ野女性医療センターの最終報告書にて、影響度が最も高いとされている残余リスクを抜き出してください。,list_extraction,,06.報告書,list,high,list_extraction_gate,auto_labeled_initial_pass
valid,11,東都人材プラットフォームのtrain.xlsxにおいて、trainシートでフィルターで抽出されている条件を教えてください。,spreadsheet_state,internal_terms;list_extraction,03.データ,list,high,spreadsheet_extractor,auto_labeled_initial_pass
valid,12,京橋信用ソリューションズの契約金額（税込）はいくらですか。,contract_rule,numeric_exact,01.契約,money,medium,contract_rule_extractor,auto_labeled_initial_pass
valid,13,青葉与信マネジメントの分析対象データにおいて、term=3 years、grade=B1、purpose=credit_cardに該当するloan_amntの平均を算出してください。四捨五入して整数値で出してください。,spreadsheet_calc,numeric_exact,unknown,number,medium,table_calc_engine,auto_labeled_initial_pass
valid,14,青葉バイオメディカル機器案件において、鈴木 美咲さんはどの役割としてアサインされていますか。,single_text,,unknown,single_text,low,text_retriever,auto_labeled_initial_pass
valid,15,中間報告会または中間レビューが2025年7月1日以前に実施された案件を、主略称ですべて挙げてください。,internal_terms,list_extraction,05.会議,list,high,term_registry,auto_labeled_initial_pass
valid,16,MINAMINOのPLにおいて、M01当日を1日目として数えた場合、M01の日からFR実施までの日数は何日ですか。,internal_terms,numeric_exact,02.計画;06.報告書,date_or_duration,medium,term_registry,auto_labeled_initial_pass
valid,17,京橋信用ソリューションズのカラム説明において、カラム名pdaysの値-1は何を表していますか。,single_text,,unknown,single_text,low,text_retriever,auto_labeled_initial_pass
valid,18,東都のCTにおいて、全14章のうち「本業務の対象データ、前提および制約」が記載されている章番号を数字で答えてください。,internal_terms,,01.契約,single_text,low,term_registry,auto_labeled_initial_pass
valid,19,青嶺不動産アセットマネジメント案件で分析設計を担当する人の名前をフルネームで抽出してください。,list_extraction,,unknown,list,high,list_extraction_gate,auto_labeled_initial_pass
valid,20,AYMのPLにおいて、探索的分析・仮説整理フェーズに一致するタスクIDをすべて挙げてください。,internal_terms,list_extraction,02.計画,list,high,term_registry,auto_labeled_initial_pass
valid,21,青葉バイオメディカル機器のtrain.xlsxのPivotシートにおいて、平均月収が最も高い層の抽出条件を答えてください。,spreadsheet_state,spreadsheet_calc;list_extraction;numeric_exact,03.データ,list,high,spreadsheet_extractor,auto_labeled_initial_pass
valid,22,AOSHIOの NB01_eda.ipynbにおいて、観察結果サマリで出力されている「TGとの相関 上位5」の中で、相関係数が最も小さいカラム名を答えてください。,notebook_output,spreadsheet_calc;internal_terms,04.分析,single_text,low,notebook_extractor,auto_labeled_initial_pass
valid,23,AOSHIOのM02資料（docx）において、黄色でハイライトされている部分をすべて抜き出してください。,office_style,internal_terms;list_extraction,unknown,list,high,office_style_extractor,auto_labeled_initial_pass
valid,24,白峰信用リスク評価の 01_eda.ipynb にある特徴量相関ヒートマップの図で可視化されている特徴量のうち、classとの相関係数の絶対値が最も小さい特徴量名を答えてください。,notebook_output,spreadsheet_calc;image_graph,04.分析,single_text,high,notebook_extractor,auto_labeled_initial_pass
valid,25,東都人材プラットフォームの提案書P7において、赤で強調されている箇所の文字列を抜き出してください。,office_style,internal_terms;list_extraction,00.提案,list,high,office_style_extractor,auto_labeled_initial_pass
valid,26,青葉バイオメディカル機器のtrain.csvにおいて、EducationFieldがMarketingかつMonthlyIncomeが10000より大きいデータを抽出し、Ageの平均値を計算してください。その平均値に最も近い年齢のidをすべて答えてください。,spreadsheet_calc,list_extraction;numeric_exact,03.データ,list,high,table_calc_engine,auto_labeled_initial_pass
valid,27,蒼泉会 ひがし丘総合病院案件において、中間報告資料に記載されたMacro F1スコアの詳細値と、最終分析出力metrics.jsonに記録されているMacro F1スコアの詳細値を用いて、改善幅を小数第6位まで答えてください。,analysis_metrics,spreadsheet_calc;internal_terms;numeric_exact,04.分析;05.会議,number,medium,analysis_registry,auto_labeled_initial_pass
valid,28,蒼泉会の分析コードにおいて、CATは dtype とユニーク数の条件でどのように判定していますか。,code_static,,04.分析,single_text,low,code_static_extractor,auto_labeled_initial_pass
valid,29,蒼樹会 みなみ野女性医療センターの契約書第8条において、本契約終了後に秘密保持義務が存続する期間は何年間ですか。,contract_rule,,01.契約,single_text,medium,contract_rule_extractor,auto_labeled_initial_pass
test,0,白峰信用リスク評価の提案書old.pptxから提案書.pptxへの更新内容のうち、案件遂行に関連する実質的な変更を挙げてください。,version_diff,list_extraction,00.提案,diff,high,version_diff_extractor,auto_labeled_initial_pass
test,1,恒一会 かえで総合病院の最終報告書old版と最新版を比較したとき、案件遂行に関連する実質的な変更を挙げてください。,version_diff,list_extraction,06.報告書,diff,high,version_diff_extractor,auto_labeled_initial_pass
test,2,青嶺不動産アセットマネジメントのスケジュール_r2.xlsxにおいて、オレンジにハイライトされている行のタスク名をすべて答えてください。,version_diff,office_style;spreadsheet_state;list_extraction,02.計画,diff,high,version_diff_extractor,auto_labeled_initial_pass
test,3,恒一会 かえで総合病院の契約書において、太字で記載されている箇所のうち、日付以外のものをすべて抽出してください。,office_style,contract_rule;list_extraction,01.契約,list,high,office_style_extractor,auto_labeled_initial_pass
test,4,蒼泉会 ひがし丘総合病院の01_eda.ipynbを確認して、目的変数と相関が最も高い数値特徴量を教えてください。,notebook_output,spreadsheet_calc;internal_terms,04.分析,single_text,low,notebook_extractor,auto_labeled_initial_pass
test,5,青潮モビリティサービスの最終報告にて最良モデルとしているモデルのパラメータであるmax_depthはいくらに設定されていますか。,analysis_metrics,numeric_exact,04.分析;06.報告書,number,medium,analysis_registry,auto_labeled_initial_pass
test,6,蒼泉会 ひがし丘総合病院案件において、提案時の税込み見込み金額と最終請求金額の差額はいくらですか。,contract_rule,internal_terms;numeric_exact,00.提案,money,medium,contract_rule_extractor,auto_labeled_initial_pass
test,7,青潮モビリティサービスの基礎分析.pptxにおいて、黄色ハイライトされている数値に対応するデータの抽出条件と集計内容を答えてください。,office_style,list_extraction,unknown,list,high,office_style_extractor,auto_labeled_initial_pass
test,8,東都人材プラットフォームのデータサイエンティスト調査資料において、米国平均給与における機械学習（ML）エンジニアとデータエンジニアの差はいくらですか。,spreadsheet_calc,internal_terms;numeric_exact,00.提案,number,medium,table_calc_engine,auto_labeled_initial_pass
test,9,青葉与信マネジメントの最終報告資料の最新版になる際に修正されたもののうち、案件遂行に関連する変更を挙げてください。,version_diff,list_extraction,05.会議;06.報告書,diff,high,version_diff_extractor,auto_labeled_initial_pass
test,10,恒一会 かえで総合病院のtrain.xlsxにおいて、AG_ratioのヒストグラムで最も多いカウント数はいくつですか。,spreadsheet_state,,03.データ,single_text,high,spreadsheet_extractor,auto_labeled_initial_pass
test,11,青嶺不動産アセットマネジメントの報告資料の中で、太字、下線、イタリックのすべてに該当する箇所を抽出してください。,office_style,list_extraction,05.会議,list,high,office_style_extractor,auto_labeled_initial_pass
test,12,蒼泉会 ひがし丘総合病院の報告資料_2025-07-08.docxにおいて、WBS観点の進捗状況の見出しがあるのは何ページですか。,spreadsheet_state,internal_terms;numeric_exact,02.計画;05.会議,number,high,spreadsheet_extractor,auto_labeled_initial_pass
test,13,データアステル社の中でもっとも多くの案件にかかわっている人の内線番号を教えてください。,cross_project,,cross_project,single_text,high,cross_project_registry,auto_labeled_initial_pass
test,14,青葉与信マネジメントの提案書_v1.pptxから提案書_v3.pptxに修正されたもののうち、案件遂行に関連する変更を挙げてください。,version_diff,list_extraction,00.提案,diff,high,version_diff_extractor,auto_labeled_initial_pass
test,15,東都人材プラットフォームのtrain.xlsxにおいて、Sheet1の黄色にハイライトされたセルの抽出条件と集計内容を答えてください。,spreadsheet_state,office_style;internal_terms;list_extraction,03.データ,list,high,spreadsheet_extractor,auto_labeled_initial_pass
test,16,青葉与信マネジメントの中間報告資料にて、黄色ハイライトかつ赤字となっている部分を抜き出してください。,office_style,list_extraction,05.会議,list,high,office_style_extractor,auto_labeled_initial_pass
test,17,AYMのMMにおいて、黄色ハイライトかつREDになっている数値を対象に、最初のMMから最後のMMまでの上昇率を計算してください。上昇率は （最後の値 - 最初の値） / 最初の値 × 100 で求め、小数第2位まで答えてください。,office_style,internal_terms;numeric_exact,05.会議,number,high,office_style_extractor,auto_labeled_initial_pass
test,18,白峰信用リスク評価の会議ID：M04の会議録にて、進捗サマリが記載されているページ番号を答えてください。,single_text,,05.会議,single_text,low,text_retriever,auto_labeled_initial_pass
test,19,青嶺不動産アセットマネジメントのスケジュール_r2.xlsxにおいて、2025-08-11から2025-09-09の間に開始日または終了日が設定されているタスクIDをすべて挙げてください。,version_diff,spreadsheet_state;list_extraction,02.計画,diff,high,version_diff_extractor,auto_labeled_initial_pass
test,20,東都人材プラットフォームの報告資料_2025-08-18.pdf で、渡辺遥と藤田彩の2人が担当となっている優先タスクを抽出してください。,internal_terms,list_extraction,02.計画;05.会議,list,high,term_registry,auto_labeled_initial_pass
test,21,青葉バイオメディカル機器のクライアントの主担当者の役職は何ですか。,single_text,,unknown,single_text,low,text_retriever,auto_labeled_initial_pass
test,22,白峰信用リスク評価の01_eda_old.ipynbから01_eda.ipynbへの変更内容のうち、内容として変わっている点は何ですか。,version_diff,notebook_output,04.分析,diff,high,version_diff_extractor,auto_labeled_initial_pass
test,23,ひがし丘の案件において、案件終了後のACTHが155時間10分だった場合の税込請求額は提案書内で記載の見込税込金額と比べて何円の減額になりますか。,contract_rule,internal_terms;numeric_exact,00.提案;01.契約,money,medium,contract_rule_extractor,auto_labeled_initial_pass
test,24,分析データの中で、1つでも欠損値がある行数が最も多い案件を、主略称で答えてください。,spreadsheet_calc,internal_terms,unknown,single_text,low,table_calc_engine,auto_labeled_initial_pass
test,25,白峰信用リスク評価のtrain.xlsxにおいて、青色ハイライト部分の合計値を求めてください。四捨五入して整数で答えてください。,spreadsheet_state,office_style;spreadsheet_calc;numeric_exact,03.データ,number,high,spreadsheet_extractor,auto_labeled_initial_pass
test,26,2025-08-15 から 2025-09-07 の間に契約期間が重なっている案件の中で、契約期間が 40日 を超えている案件を、主略称ですべて挙げてください。,cross_project,contract_rule;internal_terms;list_extraction,cross_project,list,high,cross_project_registry,auto_labeled_initial_pass
test,27,恒一会 かえで総合病院の提案書において、スコープ対象外としている項目はいくつありますか。,single_text,,00.提案,single_text,low,text_retriever,auto_labeled_initial_pass
test,28,蒼樹会 みなみ野女性医療センターの分析結果として予測に影響が高いと報告されている特徴量の中で、最もターゲットとの相関が高い特徴量を答えてください。,spreadsheet_calc,,unknown,single_text,low,table_calc_engine,auto_labeled_initial_pass
test,29,恒一会 かえで総合病院のtrain.xlsx内のTPのヒストグラムで、3番目にカウント数が多いビンの範囲を小数第6位までで答えてください。,spreadsheet_state,numeric_exact,03.データ,number,high,spreadsheet_extractor,auto_labeled_initial_pass
test,30,青葉与信マネジメントの分析対象データにおいて、標準化されたloan_amntが0未満の行のうち、purpose=credit_cardに該当し、かつloan_amntがpurpose=credit_card全体の平均を上回る行の割合は何%ですか。小数第2位まで答えてください。,spreadsheet_calc,numeric_exact,unknown,number,medium,table_calc_engine,auto_labeled_initial_pass
test,31,固定金額契約の中で、分析データ1行あたりの契約金額（税込）が最も高い案件を、主略称と1行あたりの金額で答えてください。1行あたりの金額は円単位で切り上げてください。,cross_project,spreadsheet_calc;contract_rule;internal_terms,cross_project,single_text,high,cross_project_registry,auto_labeled_initial_pass
test,32,青嶺不動産アセットマネジメントの分析出力 metrics.json の feature_selection.selected_columns に含まれている列のうち、分析コードで生成された数値交互作用特徴量の列名をすべて答えてください。,analysis_metrics,code_static;list_extraction,04.分析,list,high,analysis_registry,auto_labeled_initial_pass
test,33,青潮モビリティサービスの基礎分析.docxのグラフ2で、x=3のときの青色の折れ線のyの値を小数第5位で答えてください。,office_style,image_graph;numeric_exact,04.分析,number,high,office_style_extractor,auto_labeled_initial_pass
test,34,MINAMINOにおいて、M01時点では未完了で、M02までの間に完了したAIのうち、伊藤さんが担当しているものを抽出してください。,internal_terms,list_extraction,unknown,list,high,term_registry,auto_labeled_initial_pass
test,35,京橋信用ソリューションズの京橋信用ソリューションズ株式会社_最終報告.pptxにおいて、F1スコアにてgradient_boostingに次ぐ順位のモデルの Accuracy はいくつですか。,analysis_metrics,spreadsheet_calc;numeric_exact,04.分析;06.報告書,number,medium,analysis_registry,auto_labeled_initial_pass
test,36,恒一会 かえで総合病院案件において、中間報告時点のF1スコア実測値と最終報告時点のF1スコア実測値の差を絶対値で答えてください。,spreadsheet_calc,numeric_exact,05.会議;06.報告書,number,medium,table_calc_engine,auto_labeled_initial_pass
test,37,AOBMにおいて、見込金額（税込）と確定金額（税込）の差を、ESTHとACTHの差で割った1時間あたりの減少金額を計算してください。,contract_rule,internal_terms;numeric_exact,01.契約,money,medium,contract_rule_extractor,auto_labeled_initial_pass
test,38,社内管理のAPRに照らして、APR-M3が必要な案件を主略称ですべて挙げ、それらの契約金額（税込）の合計を答えてください。,contract_rule,spreadsheet_calc;internal_terms;list_extraction;numeric_exact,01.契約;社内管理,list,high,contract_rule_extractor,auto_labeled_initial_pass
test,39,青潮モビリティサービスのtrain.xlsxのSheet1にあるグラフ1はどのカラムを可視化したものですか。,spreadsheet_state,image_graph,03.データ;04.分析,single_text,high,spreadsheet_extractor,auto_labeled_initial_pass
test,40,2026年7月1日時点で存在する案件について、支払月ごとの精算総額が多い月を上位3つ、総額とあわせて答えてください。,cross_project,numeric_exact,cross_project,money,high,cross_project_registry,auto_labeled_initial_pass
test,41,AOBMのPLANにおいて、加藤さんが担当者に含まれるタスクIDはいくつありますか。,internal_terms,,02.計画,single_text,low,term_registry,auto_labeled_initial_pass
test,42,蒼泉会 ひがし丘総合病院のtrain.xlsxのSheet1において、黄色ハイライトされている数値に対応するデータの抽出条件と集計内容を答えてください。,spreadsheet_state,office_style;internal_terms;list_extraction,03.データ,list,high,spreadsheet_extractor,auto_labeled_initial_pass
test,43,東都のCTにおいて、甲側の主担当者をフルネームで教えてください。,internal_terms,,01.契約,single_text,low,term_registry,auto_labeled_initial_pass
test,44,IMにあるFMにおいて、佐藤さんから見て右側に座っている人の名前をすべて挙げてください。,internal_terms,list_extraction,社内管理,list,high,term_registry,auto_labeled_initial_pass
test,45,京橋信用ソリューションズの会議録_2025-10-29.pdfと会議録_2025-11-11.pdfにおいて、会議ID M2 から M3 にかけて完了したアクションアイテムのIDをすべて挙げてください。,list_extraction,,05.会議,list,high,list_extraction_gate,auto_labeled_initial_pass
test,46,着手金が最も高い案件について、その案件のESの内線番号を教えてください。,cross_project,contract_rule;internal_terms,cross_project,single_text,high,cross_project_registry,auto_labeled_initial_pass
test,47,青嶺不動産アセットマネジメントのtrain.xlsxにおいて、黄色ハイライトセルは予測と実際の誤差を計算していますが、その予測値の対象となっている不動産の建設年を算出してください。,spreadsheet_state,office_style;spreadsheet_calc;numeric_exact,03.データ,date_or_duration,high,spreadsheet_extractor,auto_labeled_initial_pass
test,48,青嶺不動産アセットマネジメントのニューヨーク不動産市場の最新動向調査.pdfにおいて、提案されているマンション税の新税率のうち、現行税率からの絶対値の増加が最も小さい価格帯はどこですか。,single_text,,00.提案,single_text,low,text_retriever,auto_labeled_initial_pass
test,49,東都人材プラットフォームの会議録において、コメントがついている部分をそのまま抽出してください。,office_style,internal_terms;list_extraction,05.会議,list,high,office_style_extractor,auto_labeled_initial_pass
test,50,東都人材プラットフォームのデータサイエンティスト調査において、Salary.com が公表しているデータサイエンティストの年間基本給について、上位90%の層と中央値の差はいくらですか。,internal_terms,numeric_exact,unknown,date_or_duration,medium,term_registry,auto_labeled_initial_pass
test,51,白峰信用リスク評価の提案書.pptxにおいて、モデルの高度化（説明性・セグメント分析）の実行予定スケジュールは案件開始から第何週目に実施予定でしょうか。,spreadsheet_state,numeric_exact,00.提案;02.計画;04.分析,date_or_duration,high,spreadsheet_extractor,auto_labeled_initial_pass
test,52,蒼樹会 みなみ野女性医療センターの今後の運用に関する記載の中で、データアステル側の役割として「別契約」と明記されているものを抽出してください。,contract_rule,list_extraction,01.契約,list,high,contract_rule_extractor,auto_labeled_initial_pass
test,53,TOTOのFR書にて記載のある選択特徴量のうち、ENG-FTはいくつありますか。,internal_terms,,06.報告書,single_text,low,term_registry,auto_labeled_initial_pass
test,54,青潮モビリティサービスの基礎分析.docxのグラフ1で、x=3のときのyの値を小数第5位で答えてください。,image_graph,numeric_exact,04.分析,number,high,vlm_or_chart_extractor,auto_labeled_initial_pass
test,55,事後精算案件のうち、提案時の見積工数と最終報告で報告されている実績工数の乖離が最も大きい案件を主略称で挙げてください。,cross_project,contract_rule;internal_terms;list_extraction,cross_project,list,high,cross_project_registry,auto_labeled_initial_pass
test,56,蒼泉会 ひがし丘総合病院の01_eda.ipynbにおける目的変数分析の可視化において、y軸に実際に表示されている目盛りの最大値は何ですか。,notebook_output,image_graph;internal_terms,04.分析,single_text,high,notebook_extractor,auto_labeled_initial_pass
test,57,青葉のTXにて算出された回帰係数を用いて全データの予測値を計算し、正解データに対する F1 スコアが最大となるように閾値を設定したときの F1 スコアを答えてください。小数第5位まで求めてください。,spreadsheet_calc,numeric_exact,unknown,number,medium,table_calc_engine,auto_labeled_initial_pass
test,58,社内管理フォルダにあるFMにおいて、井上さんの向かいに座っている方のEXTを教えてください。,internal_terms,,社内管理,single_text,low,term_registry,auto_labeled_initial_pass
test,59,京ソのPP_final.pptxにおいて、この案件にかかる金額の提示がまとまっているのは何ページですか。,version_diff,internal_terms;numeric_exact,00.提案,diff,high,version_diff_extractor,auto_labeled_initial_pass
test,60,白峰信用リスク評価の最終報告資料内で未完事項として挙げられているIDをすべて抽出してください。,list_extraction,,05.会議;06.報告書,list,high,list_extraction_gate,auto_labeled_initial_pass
test,61,京橋信用ソリューションズの分析コードにおいて、今回の学習で勾配ブースティング法のモデルに実際に渡される n_estimators、learning_rate、random_state はそれぞれいくつですか。設定ファイルに明示されていない値がある場合も、実行時にコード上で適用される値を含めて答えてください。,code_static,,04.分析,single_text,low,code_static_extractor,auto_labeled_initial_pass
test,62,青葉与信マネジメントの最終報告資料における、モデル比較で上位2件のスコア差を生んでいる設定差分は何ですか。,version_diff,analysis_metrics,04.分析;05.会議;06.報告書,diff,high,version_diff_extractor,auto_labeled_initial_pass
test,63,青葉与信マネジメントのtrain.xlsxにて算出された回帰係数を使ってid=0を予測した場合の予測値はいくらになりますか。小数第5位まで求めてください。,spreadsheet_state,spreadsheet_calc;numeric_exact,03.データ,number,high,spreadsheet_extractor,auto_labeled_initial_pass
test,64,青潮モビリティサービスの最終報告PDFにおいて、将来のフェーズAとフェーズBを実施した場合の想定工数は合計で何時間ですか。,contract_rule,spreadsheet_calc;numeric_exact,06.報告書,number,medium,contract_rule_extractor,auto_labeled_initial_pass
test,65,白峰信用リスク評価のtrain.xlsxにおいて、表示されている相関係数シートで、黄色ハイライトになっているセルの条件を答えてください。,spreadsheet_state,office_style;spreadsheet_calc,03.データ,single_text,high,spreadsheet_extractor,auto_labeled_initial_pass
test,66,京橋信用ソリューションズのEDAの日付分析の可視化において、件数が最も高いのは何日ですか。,image_graph,numeric_exact,unknown,date_or_duration,high,vlm_or_chart_extractor,auto_labeled_initial_pass
test,67,完了案件のうち、社内管理のAPRでAPR-M2に該当する案件の中で、提案時金額とFR時の金額が異なる案件を案件略称ですべて挙げてください。,cross_project,contract_rule;internal_terms;list_extraction,cross_project,list,high,cross_project_registry,auto_labeled_initial_pass
test,68,東都人材プラットフォームのデータサイエンス市場の未来予測.pdfにおいて、投資実装係数の計算式が記載されているページの数値情報を式に代入し、投資実装係数を小数で答えてください。,internal_terms,numeric_exact,00.提案,number,medium,term_registry,auto_labeled_initial_pass
test,69,白峰信用リスク評価の最終報告資料において、パイロット運用は本番化スケジュール上で第何週目から第何週目に実施予定ですか。,spreadsheet_state,numeric_exact,02.計画;05.会議;06.報告書,date_or_duration,high,spreadsheet_extractor,auto_labeled_initial_pass
test,70,白峰信用リスク評価の5月27日の報告資料で Open として優先フォロー対象に挙げられているアクションIDの中で、会議録において完了となっていないIDを上げてください。,single_text,,05.会議,single_text,low,text_retriever,auto_labeled_initial_pass
test,71,青嶺不動産アセットマネジメントの会議録の中で、太字、下線、イタリックのすべてに該当する箇所を抽出してください。,office_style,list_extraction,05.会議,list,high,office_style_extractor,auto_labeled_initial_pass
test,72,KSSにおいて、データエンジニアが担当するタスクIDはいくつありますか。,internal_terms,,02.計画,single_text,low,term_registry,auto_labeled_initial_pass
test,73,恒一会のPPで言及されている One-Hot Encoding のカテゴリ数閾値を実装設定から確認したうえで、その条件により One-Hot Encoding の対象となるカテゴリ列をすべて答えてください。,code_static,internal_terms;list_extraction,00.提案,list,high,code_static_extractor,auto_labeled_initial_pass
test,74,青葉与信マネジメントの提案書_v1.pptxから提案書_v2.pptxに修正されたもののうち、案件遂行に関連する変更を挙げてください。,version_diff,list_extraction,00.提案,diff,high,version_diff_extractor,auto_labeled_initial_pass
test,75,MINAMINOのPP内のPL案において、モデル構築は第何週に実施することになっていますか。,internal_terms,numeric_exact,00.提案;02.計画;04.分析,date_or_duration,medium,term_registry,auto_labeled_initial_pass
test,76,"AOMINEの契約条件において、契約単価が現状よりも2,000円高く、実績工数が11.2時間少なかった場合、税込請求金額は、実際の税込請求金額と比べていくら変動しますか。",contract_rule,internal_terms;numeric_exact,01.契約,money,medium,contract_rule_extractor,auto_labeled_initial_pass
test,77,蒼泉会 ひがし丘総合病院のtrain.xlsxのSheet2において、黄色ハイライトされている数値に対応するデータの抽出条件と集計内容を答えてください。,spreadsheet_state,office_style;internal_terms;list_extraction,03.データ,list,high,spreadsheet_extractor,auto_labeled_initial_pass
test,78,ひがし丘の契約条件において、ACTHが200時間を超えた場合の精算方法に関する規定内容を答えてください。,contract_rule,internal_terms,01.契約,single_text,medium,contract_rule_extractor,auto_labeled_initial_pass
test,79,恒一会 かえで総合病院の計画フォルダ内において、データアステル側の担当者のうち、1タスク当たりの想定工数（想定工数 ÷ 担当タスク数）が最も大きい人のフルネームと、その1タスク当たりの想定工数を小数第2位で答えてください。ファイルに鍵がかかっている場合は社内管理を確認してください。,contract_rule,numeric_exact,02.計画;社内管理,number,medium,contract_rule_extractor,auto_labeled_initial_pass
test,80,東都人材プラットフォームのtrain.xlsxにおいて、Sheet2の黄色にハイライトされたセルの抽出条件と集計内容を答えてください。,spreadsheet_state,office_style;internal_terms;list_extraction,03.データ,list,high,spreadsheet_extractor,auto_labeled_initial_pass
test,81,京橋信用ソリューションズとの契約書において、太字で記載されている部分を抽出してください。,office_style,contract_rule;list_extraction,01.契約,list,high,office_style_extractor,auto_labeled_initial_pass
test,82,蒼泉会 ひがし丘総合病院のスケジュール.xlsxにおいて、WBSシートでオレンジ色にハイライトされている行のタスクIDをすべて教えてください。,spreadsheet_state,office_style;internal_terms;list_extraction,02.計画,list,high,spreadsheet_extractor,auto_labeled_initial_pass
test,83,蒼樹会 みなみ野女性医療センターのtrain.xlsxにおいて、回帰分析の結果として記載されている係数をindex=1770のデータに当てはめたときの予測値はいくつですか。小数第5位まで答えてください。,spreadsheet_state,spreadsheet_calc;numeric_exact,03.データ,number,high,spreadsheet_extractor,auto_labeled_initial_pass
test,84,東都人材プラットフォームの最終報告書で分析結果が記載されている中で、モデル毎のF1スコアがランキング形式で記載されているページ数を教えてください。,spreadsheet_calc,internal_terms;numeric_exact,04.分析;06.報告書,number,medium,table_calc_engine,auto_labeled_initial_pass
test,85,青葉バイオメディカル機器の最終報告において、設定されたKPIとして未達成とされている項目を挙げてください。,list_extraction,,06.報告書,list,high,list_extraction_gate,auto_labeled_initial_pass
test,86,各案件のPP・契約書・PLAN・FRにおいて、DA側の実施体制として役割付きで記載されている人物は全部で何人ですか。,cross_project,contract_rule;internal_terms;list_extraction,cross_project,list,high,cross_project_registry,auto_labeled_initial_pass
test,87,完了案件のうち、社内管理のAPRでAPR-M1に該当し、かつ顧客データのサンプル数が10000行以上の案件を、案件略称ですべて挙げてください。,cross_project,contract_rule;internal_terms;list_extraction,cross_project,list,high,cross_project_registry,auto_labeled_initial_pass
test,88,蒼樹会 みなみ野女性医療センターの提案書内のスケジュール案において、第5週目に実施することになっている項目は何ですか。,spreadsheet_state,,00.提案;02.計画,single_text,high,spreadsheet_extractor,auto_labeled_initial_pass
test,89,京橋信用ソリューションズのスケジュール.xlsxにおいて、フェーズNo6にて最後に開始するタスク名は何ですか。,spreadsheet_state,,02.計画,single_text,high,spreadsheet_extractor,auto_labeled_initial_pass
test,90,青潮モビリティサービスのスケジュール.xlsxにおいて、バッファとして使用した工数の合計は何時間ですか。,spreadsheet_state,spreadsheet_calc;contract_rule;numeric_exact,02.計画,number,high,spreadsheet_extractor,auto_labeled_initial_pass
test,91,京橋信用ソリューションズの顧客データにおいて、目的変数と最も強い負の相関を持つカラムは何ですか。,spreadsheet_calc,,unknown,single_text,low,table_calc_engine,auto_labeled_initial_pass
test,92,恒一会 かえで総合病院案件において、マイルストーンID、タスクID、アクションIDの3種類のIDは合計でいくつ発行されていますか。マークダウンファイル以外から算出してください。,spreadsheet_calc,numeric_exact,02.計画;05.会議,number,medium,table_calc_engine,auto_labeled_initial_pass
test,93,蒼樹会 みなみ野女性医療センターのアクションIDA10の内容をそのまま抜き出してください。,list_extraction,,05.会議,list,high,list_extraction_gate,auto_labeled_initial_pass
test,94,蒼樹会 みなみ野女性医療センターのスケジュール.xlsxにおいて、MS3に紐づくタスクのうち、ビジネスアナリストが関わっているタスクIDを答えてください。,spreadsheet_state,,02.計画,single_text,high,spreadsheet_extractor,auto_labeled_initial_pass
