split,index,primary_type,project_name,coverage_status,coverage_reason,question
test,29,spreadsheet_state,医療法人社団 恒一会 かえで総合病院,not_covered,train.xlsx extraction is not implemented yet,恒一会 かえで総合病院のtrain.xlsx内のTPのヒストグラムで、3番目にカウント数が多いビンの範囲を小数第6位までで答えてください。
test,39,spreadsheet_state,株式会社青潮モビリティサービス,not_covered,train.xlsx extraction is not implemented yet,青潮モビリティサービスのtrain.xlsxのSheet1にあるグラフ1はどのカラムを可視化したものですか。
test,41,internal_terms,株式会社青葉バイオメディカル機器,covered_artifact,schedule rows extracted; query-specific computation still needed,AOBMのPLANにおいて、加藤さんが担当者に含まれるタスクIDはいくつありますか。
test,42,spreadsheet_state,医療法人社団 蒼泉会 ひがし丘総合病院,not_covered,train.xlsx extraction is not implemented yet,蒼泉会 ひがし丘総合病院のtrain.xlsxのSheet1において、黄色ハイライトされている数値に対応するデータの抽出条件と集計内容を答えてください。
test,47,spreadsheet_state,株式会社青嶺不動産アセットマネジメント,not_covered,train.xlsx extraction is not implemented yet,青嶺不動産アセットマネジメントのtrain.xlsxにおいて、黄色ハイライトセルは予測と実際の誤差を計算していますが、その予測値の対象となっている不動産の建設年を算出してください。
test,51,spreadsheet_state,白峰信用リスク評価株式会社,partial,"schedule rows may help, but the requested source is not the schedule workbook",白峰信用リスク評価の提案書.pptxにおいて、モデルの高度化（説明性・セグメント分析）の実行予定スケジュールは案件開始から第何週目に実施予定でしょうか。
test,63,spreadsheet_state,青葉与信マネジメント株式会社,not_covered,train.xlsx extraction is not implemented yet,青葉与信マネジメントのtrain.xlsxにて算出された回帰係数を使ってid=0を予測した場合の予測値はいくらになりますか。小数第5位まで求めてください。
test,65,spreadsheet_state,白峰信用リスク評価株式会社,not_covered,train.xlsx extraction is not implemented yet,白峰信用リスク評価のtrain.xlsxにおいて、表示されている相関係数シートで、黄色ハイライトになっているセルの条件を答えてください。
test,69,spreadsheet_state,白峰信用リスク評価株式会社,partial,"schedule rows may help, but the requested source is not the schedule workbook",白峰信用リスク評価の最終報告資料において、パイロット運用は本番化スケジュール上で第何週目から第何週目に実施予定ですか。
test,72,internal_terms,京橋信用ソリューションズ株式会社,partial,"schedule rows may help, but the requested source is not the schedule workbook",KSSにおいて、データエンジニアが担当するタスクIDはいくつありますか。
test,77,spreadsheet_state,医療法人社団 蒼泉会 ひがし丘総合病院,not_covered,train.xlsx extraction is not implemented yet,蒼泉会 ひがし丘総合病院のtrain.xlsxのSheet2において、黄色ハイライトされている数値に対応するデータの抽出条件と集計内容を答えてください。
test,80,spreadsheet_state,株式会社東都人材プラットフォーム,not_covered,train.xlsx extraction is not implemented yet,東都人材プラットフォームのtrain.xlsxにおいて、Sheet2の黄色にハイライトされたセルの抽出条件と集計内容を答えてください。
test,82,spreadsheet_state,医療法人社団 蒼泉会 ひがし丘総合病院,partial,schedule rows and row colors extracted; answer logic still needed,蒼泉会 ひがし丘総合病院のスケジュール.xlsxにおいて、WBSシートでオレンジ色にハイライトされている行のタスクIDをすべて教えてください。
test,83,spreadsheet_state,医療法人社団 蒼樹会 みなみ野女性医療センター,not_covered,train.xlsx extraction is not implemented yet,蒼樹会 みなみ野女性医療センターのtrain.xlsxにおいて、回帰分析の結果として記載されている係数をindex=1770のデータに当てはめたときの予測値はいくつですか。小数第5位まで答えてください。
test,88,spreadsheet_state,医療法人社団 蒼樹会 みなみ野女性医療センター,partial,"schedule rows may help, but the requested source is not the schedule workbook",蒼樹会 みなみ野女性医療センターの提案書内のスケジュール案において、第5週目に実施することになっている項目は何ですか。
test,89,spreadsheet_state,京橋信用ソリューションズ株式会社,covered_artifact,schedule rows extracted; query-specific computation still needed,京橋信用ソリューションズのスケジュール.xlsxにおいて、フェーズNo6にて最後に開始するタスク名は何ですか。
test,90,spreadsheet_state,株式会社青潮モビリティサービス,covered_artifact,schedule rows extracted; query-specific computation still needed,青潮モビリティサービスのスケジュール.xlsxにおいて、バッファとして使用した工数の合計は何時間ですか。
test,94,spreadsheet_state,医療法人社団 蒼樹会 みなみ野女性医療センター,partial,"schedule rows extracted, but role/person registry is required",蒼樹会 みなみ野女性医療センターのスケジュール.xlsxにおいて、MS3に紐づくタスクのうち、ビジネスアナリストが関わっているタスクIDを答えてください。
test,95,version_diff,株式会社青嶺不動産アセットマネジメント,partial,"schedule rows extracted, but diff logic is not implemented",青嶺不動産アセットマネジメントのスケジュール_r1.xlsxとスケジュール_r2.xlsxを比較したとき、未着手から完了への変更を除いて、案件遂行に関連する変更点を挙げてください。
test,96,single_text,青葉与信マネジメント株式会社,partial,"schedule rows may help, but the requested source is not the schedule workbook",青葉与信マネジメントのチェックポイント2として設定されている内容に関連するタスクIDを教えてください。
test,97,spreadsheet_state,株式会社青葉バイオメディカル機器,not_covered,train.xlsx extraction is not implemented yet,青葉バイオメディカル機器のtrain.xlsxにおいて、黄色ハイライトが交差している2つのセルの値の差の絶対値を計算してください。
